Date,Open,High,Low,Close,Adj Close,Volume
2003-05-01,11.683333,12.785556,11.666667,12.785556,8.809174,5404500
2003-06-01,12.822222,13.705556,12.674444,13.322222,9.178933,7669800
2003-07-01,13.372222,14.355556,13.333333,14.077778,9.699507,16710300
2003-08-01,14.105556,15.233333,13.797778,15.202222,10.474241,12436200
2003-09-01,15.333333,15.920000,15.044444,15.103333,10.406109,24281100
2003-10-01,15.312222,16.776667,15.301111,16.490000,11.361511,22484700
2003-11-01,16.777779,17.000000,16.111111,16.799999,11.575101,18758700
2003-12-01,17.044443,18.233334,16.855556,18.214443,12.549644,22907700
2004-01-01,18.344444,19.447779,18.344444,18.655556,12.920568,35944200
2004-02-01,18.680000,19.767778,18.305555,19.393333,13.431550,28995300
2004-03-01,19.537779,19.888889,18.332222,19.500000,13.505421,44549100
2004-04-01,19.543333,20.266666,17.565556,17.588888,12.181814,43108200
2004-05-01,17.642221,18.247778,15.883333,17.794443,12.324179,68340600
2004-06-01,17.811111,18.161112,16.777779,17.958889,12.438072,41112000
2004-07-01,17.834444,17.872223,16.922222,17.305555,11.985579,36481500
2004-08-01,17.224443,18.017778,17.000000,17.916668,12.408827,35601300
2004-09-01,18.054443,19.197779,17.922222,19.166668,13.274562,37058400
2004-10-01,19.286667,19.947779,18.872223,19.712221,13.652402,52629300
2004-11-01,19.881111,21.811111,19.763332,21.673332,15.010645,55434600
2004-12-01,21.799999,22.433332,20.806667,22.427778,15.533159,50557500
2005-01-01,22.411112,22.494444,21.125557,22.308889,15.639695,64983600
2005-02-01,22.442223,24.725555,22.364445,24.468889,17.153971,55631700
2005-03-01,24.503332,24.711111,21.761110,22.533333,15.797053,146305800
2005-04-01,22.611111,23.287779,21.530001,22.252222,15.599973,164014200
2005-05-01,22.361111,23.262222,22.113333,22.955557,16.093048,123730200
2005-06-01,22.888889,24.393333,22.875557,23.866667,16.731783,90347400
2005-07-01,24.080000,25.803333,23.666668,25.700001,18.017056,96584400
2005-08-01,25.900000,26.926666,25.250000,26.040001,18.255415,132379500
2005-09-01,26.166668,28.379999,26.166668,28.293333,19.835114,102015000
2005-10-01,28.416668,28.639999,24.950001,26.500000,18.577888,216370200
2005-11-01,26.549999,28.576668,26.549999,28.033333,19.652840,148899300
2005-12-01,28.283333,30.000000,28.283333,29.416668,20.622627,118935300
2006-01-01,30.059999,33.796665,30.000000,33.593334,23.813562,209419200
2006-02-01,33.633331,33.666668,31.400000,32.299999,22.896744,213909000
2006-03-01,32.630001,33.606667,30.500000,33.000000,23.392965,354950100
2006-04-01,33.426666,35.993332,33.333332,35.150002,24.917053,241712700
2006-05-01,35.313332,37.083332,30.216667,31.233334,22.140614,428196000
2006-06-01,31.309999,32.523335,27.116667,31.299999,22.187874,544186500
2006-07-01,31.866667,32.423332,29.023333,32.033333,22.707718,421107000
2006-08-01,31.916668,33.333332,31.370001,32.540001,23.066887,323489400
2006-09-01,32.599998,33.200001,31.106667,32.256668,22.866037,437895300
2006-10-01,32.116669,35.266666,31.633333,34.533333,24.479916,379726200
2006-11-01,34.630001,36.856667,34.116669,36.599998,25.944929,338210100
2006-12-01,36.753334,38.266666,36.166668,38.056667,26.977522,294522600
2007-01-01,38.666668,38.833332,35.540001,38.099998,27.392620,601532700
2007-02-01,38.266666,39.860001,34.496666,36.866669,26.505898,530408400
2007-03-01,35.689999,39.209999,34.520000,38.833332,27.919857,724378500
2007-04-01,38.950001,41.463333,38.740002,40.279999,28.959970,417337800
2007-05-01,40.413334,42.799999,40.099998,42.320000,30.426653,563508900
2007-06-01,42.583332,44.643333,41.080002,43.876667,31.545853,646627500
2007-07-01,44.000000,48.033333,43.256668,44.189999,31.771124,814751100
2007-08-01,43.639999,45.490002,37.136665,44.650002,32.101849,1440685800
2007-09-01,44.216667,50.666668,43.419998,49.816666,35.816517,656503800
2007-10-01,50.290001,55.826668,49.663334,55.730000,40.068005,1111879500
2007-11-01,54.186668,54.556667,47.176666,51.466667,37.002811,1303180200
2007-12-01,51.369999,54.049999,47.813332,50.099998,36.020214,943131300
2008-01-01,50.439999,50.753334,40.676666,45.630001,33.227291,1918224900
2008-02-01,45.866669,49.283333,42.869999,46.540001,33.889946,1333540500
2008-03-01,46.543331,47.113335,41.593334,44.793331,32.618050,1449944400
2008-04-01,45.296665,49.160000,45.193333,48.886665,35.598755,950582700
2008-05-01,48.866669,52.486668,48.580002,50.433334,36.725029,736273200
2008-06-01,50.393333,50.393333,44.433334,45.240002,32.943295,1123064700
2008-07-01,44.216667,44.773335,41.523335,42.750000,31.486820,1458879200
2008-08-01,43.200001,43.200001,38.730000,40.049999,29.498188,787781600
2008-09-01,39.369999,39.750000,30.879999,34.169998,25.167364,1931562400
2008-10-01,33.810001,34.580002,19.160000,25.430000,18.730061,3261227900
2008-11-01,25.639999,27.629999,18.219999,22.950001,16.903458,2879009800
2008-12-01,22.150000,26.459999,20.690001,24.969999,18.391253,1886231700
2009-01-01,25.200001,27.280001,21.090000,22.650000,16.917360,1641660300
2009-02-01,22.200001,25.110001,20.950001,21.230000,15.856756,1460682200
